id,name,rgb,is_trans
-1,[Unknown],0033B2,FALSE
0,Black,05131D,FALSE
1,Blue,0055BF,FALSE
2,Green,237841,FALSE
3,Dark Turquoise,008F9B,FALSE
4,Red,C91A09,FALSE
5,Dark Pink,C870A0,FALSE
6,Brown,583927,FALSE
7,Light Gray,9BA19D,FALSE
8,Dark Gray,6D6E5C,FALSE
9,Light Blue,B4D2E3,FALSE
10,Bright Green,4B9F4A,FALSE
11,Light Turquoise,55A5AF,FALSE
12,Salmon,F2705E,FALSE
13,Pink,FC97AC,FALSE
14,Yellow,F2CD37,FALSE
15,White,FFFFFF,FALSE
17,Light Green,C2DAB8,FALSE
18,Light Yellow,FBE696,FALSE
19,Tan,E4CD9E,FALSE
20,Light Violet,C9CAE2,FALSE
21,Glow In Dark Opaque,D4D5C9,FALSE
22,Purple,81007B,FALSE
23,Dark Blue-Violet,2032B0,FALSE
25,Orange,FE8A18,FALSE
26,Magenta,923978,FALSE
27,Lime,BBE90B,FALSE
28,Dark Tan,958A73,FALSE
29,Bright Pink,E4ADC8,FALSE
30,Medium Lavender,AC78BA,FALSE
31,Lavender,E1D5ED,FALSE
32,Trans-Black IR Lens,635F52,TRUE
33,Trans-Dark Blue,0020A0,TRUE
34,Trans-Green,84B68D,TRUE
35,Trans-Bright Green,D9E4A7,TRUE
36,Trans-Red,C91A09,TRUE
40,Trans-Brown,635F52,TRUE
41,Trans-Light Blue,AEEFEC,TRUE
42,Trans-Neon Green,F8F184,TRUE
43,Trans-Very Lt Blue,C1DFF0,TRUE
45,Trans-Dark Pink,DF6695,TRUE
46,Trans-Yellow,F5CD2F,TRUE
47,Trans-Clear,FCFCFC,TRUE
52,Trans-Purple,A5A5CB,TRUE
54,Trans-Neon Yellow,DAB000,TRUE
57,Trans-Neon Orange,FF800D,TRUE
60,Chrome Antique Brass,645A4C,FALSE
61,Chrome Blue,6C96BF,FALSE
62,Chrome Green,3CB371,FALSE
63,Chrome Pink,AA4D8E,FALSE
64,Chrome Black,1B2A34,FALSE
68,Very Light Orange,F3CF9B,FALSE
69,Light Purple,CD6298,FALSE
70,Reddish Brown,582A12,FALSE
71,Light Bluish Gray,A0A5A9,FALSE
72,Dark Bluish Gray,6C6E68,FALSE
73,Medium Blue,5A93DB,FALSE
74,Medium Green,73DCA1,FALSE
75,Speckle Black-Copper,05131D,FALSE
76,Speckle DBGray-Silver,6C6E68,FALSE
77,Light Pink,FECCCF,FALSE
78,Light Nougat,F6D7B3,FALSE
79,Milky White,FFFFFF,FALSE
80,Metallic Silver,A5A9B4,FALSE
81,Metallic Green,899B5F,FALSE
82,Metallic Gold,DBAC34,FALSE
84,Medium Nougat,AA7D55,FALSE
85,Dark Purple,3F3691,FALSE
86,Light Brown,7C503A,FALSE
89,Royal Blue,4C61DB,FALSE
92,Nougat,D09168,FALSE
100,Light Salmon,FEBABD,FALSE
110,Violet,4354A3,FALSE
112,Medium Bluish Violet,6874CA,FALSE
114,Glitter Trans-Dark Pink,DF6695,TRUE
